# number of receivers
595
# name (9 chars), lat, lon, "1/weight" (unused in cSEM)
Cana.DRLN   49.256  -57.504 0.00
GEOS._DRV  -66.665  140.002 0.00
GEOF._DSB   53.245   -6.376 0.00
POLE.DUFK  -82.862  -53.201 0.00
ANSS._DUG   40.195 -112.813 0.00
_GSN.DWPF   28.110  -81.433 0.00
GEOS._ECH   48.216    7.158 0.00
ANSS.ECSD   43.734  -96.614 0.00
_GSN._EFI  -51.675  -58.064 0.00
ANSS.EGMT   48.024 -109.755 0.00
Aust.EIDS  -25.369  151.082 0.00
GEOF._EIL   29.670   34.951 0.00
_CDS._ENH   30.272  109.487 0.00
_NCD._ENH   30.272  109.487 0.00
_GSN._ERM   42.015  143.157 0.00
IRIS._ERM   42.015  143.157 0.00
_GSN._ESK   55.317   -3.205 0.00
IRIS._ESK   55.317   -3.205 0.00
Cana.EUNU   80.053  -86.416 0.00
ANSS.EYMN   47.946  -91.495 0.00
GEOF.FAKI   -2.919  132.249 0.00
Cana._FCC   58.762  -94.087 0.00
GEOS._FDF   14.735  -61.143 0.00
_GSN._FFC   54.725 -101.978 0.00
Alas._FIB   61.166 -150.175 0.00
Aust.FITZ  -18.102  125.639 0.00
Cana.FNBB   58.890 -123.010 0.00
GEOF.FODE   35.380   24.958 0.00
GEOS.FOMA  -24.976   46.979 0.00
Aust.FORT  -30.779  128.059 0.00
Cana._FRB   63.747  -68.545 0.00
_GSN.FUNA   -8.526  179.197 0.00
_GSN.FURI    8.903   38.688 0.00
Alas.GAMB   63.777 -171.701 0.00
GEOF.GENI   -2.593  140.168 0.00
GEOF.GHAR   32.122   13.089 0.00
Aust.GIRL  -22.643  114.234 0.00
__CI._GLA   33.051 -114.827 0.00
Calt._GLA   33.052 -114.827 0.00
_GSN._GNI   40.148   44.741 0.00
Chil.GO05  -35.010  -71.930 0.00
Chil.GO09  -51.271  -72.338 0.00
Chil.GO10  -53.155  -71.050 0.00
ANSS.GOGA   33.411  -83.467 0.00
Chin._GOM   36.198   94.814 0.00
Calt._GPO   35.649 -117.662 0.00
GEOS._GRC   47.296    3.074 0.00
_GSN.GRFO   49.692   11.222 0.00
_GSN.GRGR   12.132  -61.654 0.00
Sout._GRM  -33.313   26.573 0.00
_GSN.GRTK   21.511  -71.133 0.00
__CI._GSC   35.302 -116.806 0.00
Calt._GSC   35.303 -116.808 0.00
Chin._GTA   39.400   99.817 0.00
_GSN.GTBY   19.927  -75.111 0.00
ARCT._GTM   65.401 -161.278 0.00
_GSN.GUMO   13.589  144.868 0.00
GEOF._GVD   34.839   24.087 0.00
Chin._GYA   26.460  106.664 0.00
Chin._GZH   23.653  113.652 0.00
Ocea._H2O   27.882 -141.992 0.00
GEOF.HALK    6.089   80.680 0.00
SISM._HAO  -18.063 -140.962 0.00
GEOS._HDC   10.000  -84.112 0.00
Chin._HEH   50.253  127.410 0.00
Chin._HHC   40.850  111.564 0.00
IRIS._HIA   49.267  119.742 0.00
_NCD._HIA   49.267  119.742 0.00
Cana.HILA   58.556 -117.020 0.00
SISM._HIV   -9.765 -139.007 0.00
_New._HIZ  -38.515  174.856 0.00
Hong.HKPS   22.278  114.142 0.00
_GSN._HKT   29.962  -95.838 0.00
GEOF._HLG   54.185    7.884 0.00
ANSS.HLID   43.562 -114.414 0.00
GEOF.HMDM    6.773   73.182 0.00
_GSN._HNR   -9.432  159.947 0.00
_GSN.HOPE  -54.284  -36.488 0.00
POLE.HOWD  -77.529  -86.769 0.00
_GSN._HRV   42.506  -71.558 0.00
Harv._HRV   42.506  -71.558 0.00
Aust._HTT  -33.431  138.922 0.00
GEOS._HYB   17.417   78.553 0.00
GEOF.IBBN   52.307    7.757 0.00
Cana._ICQ   49.522  -67.272 0.00
MEDN._IDI   35.288   24.890 0.00
Free._IGK   24.413  124.181 0.00
Cana.ILON   69.371  -81.824 0.00
Dani.ILUL   69.212  -51.105 0.00
_GSN.INCN   37.483  126.633 0.00
Cana._INK   68.307 -133.525 0.00
